//アイテム番号	// ※0番にはアイテムを設定しないで下さい。																																																		
// <武器>	名前	効果説明文	アイテム説明文	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
// <防具>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <腕>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <アクセサリ>	名前	効果説明文	アイテム説明文	効果ｶﾃｺﾞﾘ(0以外で有効。同じｶﾃｺﾞﾘ値のものは重複装備できない)	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <素材>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	経験値	特性値	カテゴリ１	カテゴリ２	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <衣装>	名前	サブ説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	同時装備判別用番号																																						
// <料理>	名前	効果説明文	アイテム説明文	効果時間	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <その他>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
145	Party Member		---	0	0	326	0	0	0	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
146	Broken Mistilteinn		---	0	0	9	0	0	0	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
147	Broken Spirit Ring		---	0	0	9	0	0	0	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
148	Discovery		---	0	0	307	0	0	0	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
149	---		---	0	0	0	0	0	0	0	0	0	it_getsp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
// <アクセサリ>	名前	効果説明文	アイテム説明文	効果ｶﾃｺﾞﾘ(0以外で有効。同じｶﾃｺﾞﾘ値のものは重複装備できない)	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
150			■■■■■■■■■■■■■■□■■■■■■■■■■□■■□																																																
151	Bone Necklace	HP+150	Heightens one's survival instincts.$nMax HP +150.	1	EQ_COMMON_ACCESSORY	106	0	1	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HPUP	15	0	0	0	0	0	0	0	0	ZOKU_SCRAPENABLE	0																								
152	Bone Necklace II	HP+300	Heightens one's survival instincts.$nMax HP +300.	1	EQ_COMMON_ACCESSORY	106	1	2	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HPUP	30	0	0	0	0	0	0	0	0	ZOKU_SCRAPENABLE	0																								
153	Bone Necklace III	HP+500	Heightens one's survival instincts.$nMax HP +500.	1	EQ_COMMON_ACCESSORY	106	2	3	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HPUP	50	0	0	0	0	0	0	0	0	ZOKU_SCRAPENABLE	0																								
154	Bone Necklace IV	HP+800	Heightens one's survival instincts.$nMax HP +800.	1	EQ_COMMON_ACCESSORY	106	3	4	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HPUP	80	0	0	0	0	0	0	0	0	ZOKU_SCRAPENABLE	0																								
155	Blade Ring	STR+10	Awakens one's combat instincts.$nSTR +10.	2	EQ_COMMON_ACCESSORY	107	4	1	0	1	0	1	it_getsp1	10	0	0	0	0	0	0	0	0	0	0	0	0	0																								
156	Blade Ring II	STR+20	Awakens one's combat instincts.$nSTR +20.	2	EQ_COMMON_ACCESSORY	107	5	2	0	1	0	1	it_getsp1	20	0	0	0	0	0	0	0	0	0	0	0	0	0																								
157	Blade Ring III	STR+30	Awakens one's combat instincts.$nSTR +30.	2	EQ_COMMON_ACCESSORY	107	6	3	0	1	0	1	it_getsp1	30	0	0	0	0	0	0	0	0	0	0	0	0	0																								
158	Blade Ring IV	STR+40	Awakens one's combat instincts.$nSTR +40.	2	EQ_COMMON_ACCESSORY	107	7	4	0	1	0	1	it_getsp1	40	0	0	0	0	0	0	0	0	0	0	0	0	0																								
159	Shield Earring	DEF+15	Protects its wearer.$nDEF +15.	3	EQ_COMMON_ACCESSORY	108	8	1	0	1	0	1	it_getsp1	0	15	0	0	0	0	0	0	0	0	0	0	0	0																								
160	Shield Earring II	DEF+30	Protects its wearer.$nDEF +30.	3	EQ_COMMON_ACCESSORY	108	9	2	0	1	0	1	it_getsp1	0	30	0	0	0	0	0	0	0	0	0	0	0	0																								
161	Shield Earring III	DEF+45	Protects its wearer.$nDEF +45.	3	EQ_COMMON_ACCESSORY	108	10	3	0	1	0	1	it_getsp1	0	45	0	0	0	0	0	0	0	0	0	0	0	0																								
162	Shield Earring IV	DEF+60	Protects its wearer.$nDEF +60.	3	EQ_COMMON_ACCESSORY	108	11	4	0	1	0	1	it_getsp1	0	60	0	0	0	0	0	0	0	0	0	0	0	0																								
163	Snake Amulet	Resist Poison	Slows the accumulation of Poison.	4	EQ_COMMON_ACCESSORY	109	12	1	0	1	0	1	it_getsp1	0	0	ZOKU_POISON	50	0	0	0	0	0	0	0	0	0	0																								
164	Snake Stone	Null Poison, STR/DEF +10	Prevents Poison.$nSTR and DEF +10.	4	EQ_COMMON_ACCESSORY	110	13	3	0	1	0	1	it_getsp1	10	10	ZOKU_POISON	100	0	0	0	0	0	0	0	0	0	0																								
165	Lightning Amulet	Resist Paralysis	Slows the accumulation$nof Paralysis.	5	EQ_COMMON_ACCESSORY	111	14	1	0	1	0	1	it_getsp1	0	0	ZOKU_PARALYZE	50	0	0	0	0	0	0	0	0	0	0																								
166	Lightning Stone	Null Paralysis, STR/DEF +10	Prevents Paralysis.$nSTR and DEF +10.	5	EQ_COMMON_ACCESSORY	112	15	3	0	1	0	1	it_getsp1	10	10	ZOKU_PARALYZE	100	0	0	0	0	0	0	0	0	0	0																								
167	Crow Amulet	Resist Darkness	Slows the accumulation of Darkness.	6	EQ_COMMON_ACCESSORY	113	16	1	0	1	0	1	it_getsp1	0	0	ZOKU_DARK	50	0	0	0	0	0	0	0	0	0	0																								
168	Crow Stone	Null Darkness, STR/DEF +10	Prevents Darkness.$nSTR and DEF +10.	6	EQ_COMMON_ACCESSORY	114	17	3	0	1	0	1	it_getsp1	10	10	ZOKU_DARK	100	0	0	0	0	0	0	0	0	0	0																								
169	Fenrir Talisman	Resist Freeze, STR/DEF +5	Slows the accumulation of Freeze.$nSTR and DEF +5.	7	EQ_COMMON_ACCESSORY	115	18	2	0	1	0	1	it_getsp1	5	5	ZOKU_FREEZE	50	0	0	0	0	0	0	0	0	0	0																								
170	Fenrir Stone	Null Freeze, STR/DEF +15	Prevents Freeze.$nSTR and DEF +15.	7	EQ_COMMON_ACCESSORY	116	19	4	0	1	0	1	it_getsp1	15	15	ZOKU_FREEZE	100	0	0	0	0	0	0	0	0	0	0																								
171	Pyrios Talisman	Resist Burn, STR/DEF +5	Slows the accumulation of Burn.$nSTR and DEF +5.	8	EQ_COMMON_ACCESSORY	117	20	2	0	1	0	1	it_getsp1	5	5	ZOKU_FLAME	50	0	0	0	0	0	0	0	0	0	0																								
172	Pyrios Stone	Null Burn, STR/DEF +15	Prevents Burn.$nSTR and DEF +15.	8	EQ_COMMON_ACCESSORY	118	21	4	0	1	0	1	it_getsp1	15	15	ZOKU_FLAME	100	0	0	0	0	0	0	0	0	0	0																								
173	Dragon Pauldron	Resist Bleed, STR/DEF +10	Slows the accumulation of Bleed.$nSTR and DEF +10.	9	EQ_COMMON_ACCESSORY	119	23	2	1	1	0	1	it_getsp1	10	10	ZOKU_BLOODLOSS	50	0	0	0	0	0	0	0	0	0	0																								
174	Dragon Stone	Null Bleed, STR/DEF +20	Prevents Bleed.$nSTR and DEF +20.	9	EQ_COMMON_ACCESSORY	120	25	4	1	1	0	1	it_getsp1	20	20	ZOKU_BLOODLOSS	100	0	0	0	0	0	0	0	0	0	0																								
175	Nature Talisman	Resist All Status, STR/DEF +10	Slows the accumulation of all$nstatus effects. STR and DEF +10.	10	EQ_COMMON_ACCESSORY	121	26	4	1	1	0	1	it_getsp1	10	10	ZOKU_RIBON	50	0	0	0	0	0	0	0	0	0	0																								
176	Warrior Seal	Skill EXP Gain +1	Increases Skill EXP Gain by 1.	11	EQ_COMMON_ACCESSORY	122	27	1	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SKILLUP	1	0	0	0	0	0	0	0	0	0	0																								
177	Warrior Seal II	Skill EXP Gain +2	Increases Skill EXP Gain by 2.	11	EQ_COMMON_ACCESSORY	122	28	2	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SKILLUP	2	0	0	0	0	0	0	0	0	0	0																								
178	Warrior Seal III	Skill EXP Gain +3	Increases Skill EXP Gain by 3.	11	EQ_COMMON_ACCESSORY	122	29	3	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SKILLUP	3	0	0	0	0	0	0	0	0	0	0																								
179	Warrior Seal IV	Skill EXP Gain +4	Increases Skill EXP Gain by 4.	11	EQ_COMMON_ACCESSORY	122	30	4	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SKILLUP	4	0	0	0	0	0	0	0	0	0	0																								
180	Red Cape	Damage ↑ as HP Lowers	Deal more damage$nas HP lowers.	12	EQ_COMMON_ACCESSORY	123	31	1	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HAZARDATK	5	0	0	0	0	0	0	0	0	0	0																								
181	Blood Moon Charm	Damage ↑↑ as HP Lowers	Deal even more damage$nas HP lowers.	12	EQ_COMMON_ACCESSORY	124	32	3	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HAZARDATK	10	0	0	0	0	0	0	0	0	0	0																								
182	Blue Cape	SP Gain ↑ as HP Lowers	Gain more SP as HP lowers.	13	EQ_COMMON_ACCESSORY	125	33	1	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HAZARDSP	10	0	0	0	0	0	0	0	0	0	0																								
183	Blue Moon Charm	SP Gain ↑↑ as HP Lowers	Gain even more SP$nas HP lowers.	13	EQ_COMMON_ACCESSORY	126	34	3	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HAZARDSP	20	0	0	0	0	0	0	0	0	0	0																								
184	Gold Cape	EXTRA Gain ↑ as HP Lowers	Gain more EXTRA Gauge$nas HP lowers.	14	EQ_COMMON_ACCESSORY	127	35	1	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HAZARDEX	10	0	0	0	0	0	0	0	0	0	0																								
185	Sun Talisman	EXTRA Gain ↑↑ as HP Lowers	Gain even more EXTRA Gauge$nas HP lowers.	14	EQ_COMMON_ACCESSORY	128	36	3	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_HAZARDEX	25	0	0	0	0	0	0	0	0	0	0																								
186	Hunter Hat	Critical Rate +10%	A beast hunter's hat.$nCritical rate +10%.	15	EQ_COMMON_ACCESSORY	129	37	1	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_CRITICAL	10	0	0	0	0	0	0	0	0	0	0																								
187	Pirate Bandanna	Critical Rate +25%	A seafaring staple.$nCritical rate +25%.	15	EQ_COMMON_ACCESSORY	130	38	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_CRITICAL	25	0	0	0	0	0	0	0	0	0	0																								
188	Dancer Shawl	Evade Rate +10%	An enchanting shawl.$nEvasion rate +10%.	16	EQ_COMMON_ACCESSORY	131	39	1	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_AVOID	10	0	0	0	0	0	0	0	0	0	0																								
189	Juggler Scarf	Evade Rate +25%	Cannot be grabbed very well.$nEvasion rate +25%.	16	EQ_COMMON_ACCESSORY	132	40	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_AVOID	25	0	0	0	0	0	0	0	0	0	0																								
190	Blood Fang	HP Absorb	A vampire's tooth. HP recovers$nbased on damage dealt.	17	EQ_COMMON_ACCESSORY	133	41	2	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ABSORB_HP	20	0	0	0	0	0	0	0	0	0	0																								
191	Crimson Fang	HP Absorb ↑, STR +25	A ruddy tooth. HP recovers$nbased on damage dealt.	17	EQ_COMMON_ACCESSORY	134	42	4	1	1	0	1	it_getsp1	25	0	ZOKU_ABILITY_ABSORB_HP	40	0	0	0	0	0	0	0	0	0	0																								
192	Athlete Ring	2/3 SP Cost	Skilled athlete's ring.$nReduces SP cost to 2/3.	18	EQ_COMMON_ACCESSORY	135	60	2	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPREDUCE	33	0	0	0	0	0	0	0	0	0	0																								
193	Athlete Belt	Gain SP when Attacked ↑	Skilled athlete's belt.$nGain SP when attacked.	19	EQ_COMMON_ACCESSORY	136	43	2	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ABSORB_SP	5	0	0	0	0	0	0	0	0	0	0																								
194	Sage Belt	Gain SP when Attacked ↑↑	A wise sage's belt.$nGain even more SP when attacked.	19	EQ_COMMON_ACCESSORY	137	44	3	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ABSORB_SP	15	0	0	0	0	0	0	0	0	0	0																								
195	Hero Belt	Gain EXTRA when Attacked ↑	An almighty belt. EXTRA Gauge$nfills when attacked.	20	EQ_COMMON_ACCESSORY	138	45	2	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ABSORB_EX	10	0	0	0	0	0	0	0	0	0	0																								
196	Legend Belt	Gain EXTRA when Attacked ↑↑	Worn by a legend. EXTRA Gauge$nfills more when attacked.	20	EQ_COMMON_ACCESSORY	139	46	3	0	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ABSORB_EX	30	0	0	0	0	0	0	0	0	0	0																								
197	Wanderer Cloak	Stats ↑ Based on Melyes Walked 	Increases your stats based on$nyour total distance traveled.	21	EQ_COMMON_ACCESSORY	140	47	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPEMOVE	100	0	0	0	0	0	0	0	0	0	0																								
198	Hero Cloak	Stats ↑ Based on Enemies Slain	Increases your stats based on your$ntotal number of enemies defeated.	22	EQ_COMMON_ACCESSORY	141	48	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPECIAL	100	0	0	0	0	0	0	0	0	0	0																								
199	Tiger Claw	Flash Guard Time ×1.5	Multiplies Flash Guard's$neffective duration by 1.5.	23	EQ_COMMON_ACCESSORY	142	50	3	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_FG_LONG	50	0	0	0	0	0	0	0	0	0	0																								
200	Eagle Fencer	Flash Move Time ×2	Doubles the duration of slowed time$nduring a Flash Move.	24	EQ_COMMON_ACCESSORY	143	51	3	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_FM_LONG	10	0	0	0	0	0	0	0	0	0	0																								
201	Hawk Wing	EXTRA Gain ↑ during Flash Move	EXTRA Gauge fills more$nduring a Flash Move.	25	EQ_COMMON_ACCESSORY	144	52	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_FMGETEXTRA	5	0	0	0	0	0	0	0	0	0	0																								
202	Feather Boots	Evade Rate +5%, Move Speed +15%	Boots as light as a feather.$nIncreases speed and evasion.	26	EQ_COMMON_ACCESSORY	145	53	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPEEDUP	15	ZOKU_ABILITY_AVOID	5	0	0	0	0	0	0	0	0																								
203	Gambler Coin	Rare Item Drop Rate ↑	You can bet your life on this coin$ngiving you more rare items.	27	EQ_COMMON_ACCESSORY	146	54	2	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ITEMDROP	25	0	0	0	0	0	0	0	0	0	0																								
204	Savage Mask	Skill Damage ×2.5, SP Cost ×2	Doubles SP costs, but multiplies$nskill damage by 2.5.	28	EQ_COMMON_ACCESSORY	147	55	3	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPATKMUL	10	0	0	0	0	0	0	0	0	0	0																								
205	Fighter Helmet	Skill Finish SP ↑, STR +45	Regain more of a skill's SP cost$nwhen it defeats an enemy.	29	EQ_COMMON_ACCESSORY	148	56	4	1	1	0	1	it_getsp1	45	0	ZOKU_ABILITY_FINISHUP	100	0	0	0	0	0	0	0	0	0	0																								
206	Jade Pendant	Damage ↑ vs. Saurians	Filled with empowering Essence,$nincreasing the damage you deal to Saurians.	30	EQ_COMMON_ACCESSORY	149	57	5	1	1	0	0	it_getsp1	0	0	ZOKU_ABILITY_DRAGONSLAYER	15	0	0	0	0	0	0	0	0	0	0																								
207	Jewel Brooch	2/3 SP Cost, STR +25	Griselda's brooch.$nReduces SP cost to 2/3.	18	EQ_COMMON_ACCESSORY	150	61	5	1	1	0	0	it_getsp1	25	0	ZOKU_ABILITY_SPREDUCE	33	0	0	0	0	0	0	0	0	0	0																								
208	Old Seal Ring	Critical Rate +30%, STR/DEF +30	A memento of Dana's mother.$nGrants Essence to its wearer.	15	EQ_COMMON_ACCESSORY	151	58	5	1	1	0	0	it_getsp1	30	30	ZOKU_ABILITY_CRITICAL	30	0	0	0	0	0	0	0	0	0	0																								
209	Ocean Hogeki	1/2 SP Cost, STR +40	Blessed by the Ocean God.$nReduces SP costs to 1/2.	18	EQ_COMMON_ACCESSORY	152	63	5	1	1	0	1	it_getsp1	40	0	ZOKU_ABILITY_SPREDUCE	50	0	0	0	0	0	0	0	0	0	0																								
210	Earth Orb	Null All, STR/DEF +25	Blessed by the Earth God.$nPrevents all status effects.	10	EQ_COMMON_ACCESSORY	153	64	5	1	1	0	1	it_getsp1	25	25	ZOKU_RIBON	100	0	0	0	0	0	0	0	0	0	0																								
211	Sky Crown	Second Wind, Evade Rate +30%	Blessed by the Sun God.$nSurvive death with 1 HP one-time only.	31	EQ_COMMON_ACCESSORY	154	65	5	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_ENDUREHP1	100	ZOKU_ABILITY_AVOID	30	0	0	0	0	0	0	0	0																								
212	Saint Ring	1/2 SP Cost	Instills righteousness.$nReduces SP cost to 1/2.	18	EQ_COMMON_ACCESSORY	155	62	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPREDUCE	50	0	0	0	0	0	0	0	0	0	0																								
213	Spirit Necklace	Party Recovery upon Death	Upon party death, all allies$nfully recover one-time only.	32	EQ_COMMON_ACCESSORY	156	59	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_RESURECT	100	0	0	0	0	0	0	0	0	0	0																								
214	Gray Pauldron	Resist Bleed	Slows the accumulation of Bleed.$nTest it by fighting Primordials.	9	EQ_COMMON_ACCESSORY	157	22	2	1	1	0	1	it_getsp1	0	0	ZOKU_BLOODLOSS	50	0	0	0	0	0	0	0	0	0	0																								
215	Prominent Cloak	Stats ↑ Based on Reputation	A hero's cloak. Boosts stats$nbased on reputation.	33	EQ_COMMON_ACCESSORY	334	49	4	1	1	0	1	it_getsp1	0	0	ZOKU_ABILITY_SPEFAMOUS	125	0	0	0	0	0	0	0	0	0	0																								
216	Dragon Talisman	Resist Bleed, Crit/Evade +10%	Slows the accumulation of Bleed.$nCritical and Evasion +10%.	9	EQ_COMMON_ACCESSORY	337	24	2	1	1	0	1	it_getsp1	0	0	ZOKU_BLOODLOSS	50	ZOKU_ABILITY_CRITICAL	10	ZOKU_ABILITY_AVOID	10	0	0	0	0	0	0																								
217	Eternal Dark Orb	HP+200, Crit/Evade +15%	Contains Kushna, Spirit of Darkness.$nOrdinary people go mad if they stare into it.	34	EQ_COMMON_ACCESSORY	371	85	5	1	0	0	0	it_getsp1	0	0	ZOKU_ABILITY_HPUP	20	ZOKU_ABILITY_CRITICAL	15	ZOKU_ABILITY_AVOID	15	0	0	0	0	0	0																								
218	Slash Medal	Adds Slash Damage	A medal containing knowledge of slashing.$nAdds Slash damage to all attacks.	35	EQ_COMMON_ACCESSORY	372	97	5	1	0	0	1	it_getsp1	0	0	ZOKU_WEAK_CUTTING	100	0	0	0	0	0	0	0	0	0	0																								
219	Pierce Medal	Adds Pierce Damage	A medal containing knowledge of shooting.$nAdds Pierce damage to all attacks.	36	EQ_COMMON_ACCESSORY	373	98	5	1	0	0	1	it_getsp1	0	0	ZOKU_WEAK_SHOOT	100	0	0	0	0	0	0	0	0	0	0																								
220	Strike Medal	Adds Strike Damage	A medal containing knowledge of striking.$nAdds Strike damage to all attacks.	37	EQ_COMMON_ACCESSORY	374	99	5	1	0	0	1	it_getsp1	0	0	ZOKU_WEAK_CRUSH	100	0	0	0	0	0	0	0	0	0	0																								
// <防具>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
221	Chain Mail	DEF+45	Standard chain-link armor.$nProvides minimal protection.	100	EQ_AM_ARMOR	45	20	2	0	1	0	1	it_getsp1	0	45	0	0	0	0	0	0	0	0	0	0	0	0																								
222	Riveted Leather	DEF+41/STR+3	Leather armor that emphasizes$nmobility over defense.	800	EQ_AM_ARMOR	46	21	2	0	1	0	1	it_getsp1	3	41	0	0	0	0	0	0	0	0	0	0	0	0																								
223	Ring Mail	DEF+78	Lightweight armor made from$nsmall interlocking metal rings.	2800	EQ_AM_ARMOR	47	22	2	1	1	0	1	it_getsp1	0	78	0	0	0	0	0	0	0	0	0	0	0	0																								
224	Bone Breastplate	DEF+73/STR+6	A practical breastplate made$nfrom beast bones.	3000	EQ_AM_ARMOR	48	23	2	1	1	0	1	it_getsp1	6	73	0	0	0	0	0	0	0	0	0	0	0	0																								
225	Black Iron Armor	DEF+102	Cumbersome armor made with$nmultiple layers of black iron.	4000	EQ_AM_ARMOR	49	24	3	0	1	0	1	it_getsp1	0	102	0	0	0	0	0	0	0	0	0	0	0	0																								
226	Ruddy Breastplate	DEF+97/STR+10	Durable breastplate made of red hide.$nComfy and easy to wear.	4200	EQ_AM_ARMOR	50	25	3	0	1	0	1	it_getsp1	10	97	0	0	0	0	0	0	0	0	0	0	0	0																								
227	Lamellar Armor	DEF+148	Advanced armor that combines$nboth flexibility and durability.	7000	EQ_AM_ARMOR	51	26	3	1	1	0	1	it_getsp1	0	148	0	0	0	0	0	0	0	0	0	0	0	0																								
228	Brigandine	DEF+142/STR+13	Well-balanced armor with$nextra mobility at the joints.	7500	EQ_AM_ARMOR	52	27	3	1	1	0	1	it_getsp1	13	142	0	0	0	0	0	0	0	0	0	0	0	0																								
229	Reflex	DEF+174	Durable armor that can withstand$nhalf-hearted attacks.	10000	EQ_AM_ARMOR	53	28	4	0	1	0	1	it_getsp1	0	174	0	0	0	0	0	0	0	0	0	0	0	0																								
230	Bandit Guard	DEF+167/STR+16	Armor that is both lightweight$nand durable.	11000	EQ_AM_ARMOR	54	29	4	0	1	0	1	it_getsp1	16	167	0	0	0	0	0	0	0	0	0	0	0	0																								
231	Anointed Armor	DEF+196	Full plate armor that protects$nits wearer from harm.	17000	EQ_AM_ARMOR	55	30	4	0	1	0	1	it_getsp1	0	196	0	0	0	0	0	0	0	0	0	0	0	0																								
232	Gladiator Armor	DEF+188/STR+20	Very light armor favored$nby gladiators of old.	18000	EQ_AM_ARMOR	56	31	4	0	1	0	1	it_getsp1	20	188	0	0	0	0	0	0	0	0	0	0	0	0																								
233	Dragon Armor	DEF+212	Made from Saurian scales, this full set of armor$nprovides the protection of a Primordial.	26000	EQ_AM_ARMOR	57	32	4	1	1	0	1	it_getsp1	0	212	0	0	0	0	0	0	0	0	0	0	0	0																								
234	Dragon Breastplate	DEF+202/STR+25	Lightweight breastplate made from$nSaurian scales for increased protection.	26000	EQ_AM_ARMOR	58	33	4	1	1	0	1	it_getsp1	25	202	0	0	0	0	0	0	0	0	0	0	0	0																								
235	Shining Chronos	DEF+237/HP+200, Crit. +10% (M)	The ultimate armor of evil's bane,$nmade from pure orichalcum.	50000	EQ_MAM_ARMOR	59	34	5	1	1	0	0	it_getsp1	0	237	ZOKU_ABILITY_HPUP	20	ZOKU_ABILITY_CRITICAL	10	0	0	0	0	0	0	0	0																								
236	Lachesis Flare	DEF+227/HP+350, Crit. +10% (F)	Armor made of pure orichalcum.$nIt shimmers with the splendor of eternal life.	50000	EQ_FAM_ARMOR	60	35	5	1	1	0	0	it_getsp1	0	227	ZOKU_ABILITY_HPUP	35	ZOKU_ABILITY_CRITICAL	10	0	0	0	0	0	0	0	0																								
237	Nature Vest	DEF+26/HP+60, Evade +5% (M)	A comfy vest made from$norganic natural materials.	100	EQ_MAM_ARMOR	61	10	1	1	1	0	1	it_getsp1	0	26	ZOKU_ABILITY_HPUP	6	ZOKU_ABILITY_AVOID	5	0	0	0	0	0	0	0	0																								
238	Lively Tunic	DEF+22/HP+100, Evade +5% (F)	A tunic made for those with$nan active island life.	100	EQ_FAM_ARMOR	62	11	1	1	1	0	1	it_getsp1	0	22	ZOKU_ABILITY_HPUP	10	ZOKU_ABILITY_AVOID	5	0	0	0	0	0	0	0	0																								
