キャラＩＤ	NAME	LV	LV補正	HPMIN	HPMAX	STRMIN	STRMAX	DEFMIN	DEFMAX	EXPMIN	EXPMAX	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0108	Molvie	3	0.45	20	25	95	100	37	40	28	33	1	1	1	5	100	5	1	0.1	0.1	0.1	0	0	0	0	0	0.1	1	1	0.5	2.6	0	0	1.25	500	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N1_STONE	50	0	0	ICON3D_FD_MEAT_01	50	0	0	0	0	0	0	0	0	0	0	0	0	m0108	109000	109000	1	Bone_body02	ENTYPE_BEAST	
M0109	Buar	3	0.45	50	54	84	88	60	65	54	59	0.1	0.1	0.6	5	100	0	1	0.1	0.1	0.15	0.3	0.03	0.06	0	0	0.1	1	1	0.5	2.6	0	0	1.25	10	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N1_BONE	50	ICON3D_MT_N2_LEATHER	10	0	0	ZOKU_WEAK_SHOOT	0	0	0	0	0	0	0	0	0	0	0	m0109	109000	109000	1	Bone_upper	ENTYPE_BEAST	
M0110	Anapushi	3	0.45	70	75	82	85	35	40	51	56	0.5	0.5	0.5	5	100	5	0.5	0.05	0.1	0.1	0	0	0	0	0	0.1	1	1	0.5	2.6	4	0.75	1	75	0	1.5	0.95	1.05	24	28	180	180	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LIQUID	800	0	1	ICON3D_MT_N1_STONE	50	ICON3D_MT_N2_LIQUID	10	0	0	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	7	0	0	0	0	0	0	0	0	m0110	109000	109000	1	Null_ALL	ENTYPE_BEAST	
M0112	Ripseus	5	0.45	70	74	80	85	115	120	47	52	0.3	1	0.3	100	100	2	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1.25	0.5	3.1	4	0.75	1	50	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N1_LIQUID	50	0	0	ICON3D_FD_SEA_SALT	50	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0112	109000	109000	1	atari1	ENTYPE_BEAST	
M0113	Worgle	3	0.45	15	20	83	87	40	43	35	40	1	1	1	100	100	0	0.8	0.1	0.1	0.2	0	0	0	0	0	0.2	1	1	0.5	2.6	4	0.75	1	50	0	1	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N1_LEATHER	50	ICON3D_MT_R1_PARTS04	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0113	109000	109000	1	Bone_Root	ENTYPE_BEAST	
																																																																																	
//ENEMY	//珊瑚の森	レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0120	Repleon	10	0.45	11	14	50	55	15	18	28	33	1	1	1	100	100	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	1	0.5	2.6	4	0.75	1.5	50	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_LEATHER	50	0	0	ICON3D_FD_WHEAT	50	0	0	0	0	0	0	0	0	0	0	0	0	m0120	109000	109000	1	Bone_mune	ENTYPE_BEAST	
M0121	Targanean	11	0.45	45	50	70	75	90	95	32	36	0.35	0.65	0.6	100	100	2	1	0.1	0.1	0.2	0	0	0	0	0	0.1	1	1.25	0.5	3.1	4	0.75	1.5	35	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_BONE	50	0	0	ICON3D_FD_MEAT_02	50	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	4	0	0	0	0	0	0	0	0	m0121	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0122	Pinha	12	0.45	15	20	60	65	30	35	34	38	0.8	0.5	0.5	100	100	2	1	0.25	0.1	0.2	0.1	0.05	0.05	0.25	0.1	0.1	1	0.8	0.5	2.2	0	0	1	30	0	1	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LIQUID	50	0	0	ICON3D_FD_SEA_SHELLFISH	50	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0122	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0123	Gwaranga	13	0.85	280	283	80	85	63	66	107	111	0.5	0.5	0.5	3300	5600	15	1.2	0.1	0.1	0.1	0	0	0	0	0	0.1	1	2	0.5	4.6	4	0.75	4	500	2	5	1	1	50	60	120	180	999	60	90000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	4	4	ICON3D_MT_R1_PARTS03	150	ICON3D_MT_R1_PARTS05	50	ICON3D_FD_MEAT_02	400	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	8	0	0	0	0	0	0	0	0	m0123	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0124	Larfo	10	0.45	25	30	60	65	10	15	30	35	1	1	1	100	100	0	0	0	0	0.4	0	0	0	0	0	0.1	1	1	0.5	2.6	4	0.75	0.75	500	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_WOOD	800	0	1	ICON3D_MT_N2_WOOD	50	ICON3D_MT_R1_FLOWER	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0124	109050	109050	1	Bone_neck	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0140	Seapus	6	0.45	71	76	76	81	32	37	15	20	1	0.2	0.7	100	200	2	0.95	0.075	0.05	0.05	0.1	0.05	0.05	0.1	0.1	0.3	1	0.8	0.5	3.5	0	0.7	1	40	0	1.5	0.95	1.05	32	35	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_LIQUID	50	0	0	ICON3D_FD_SEA_SALT	50	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0140	109000	109000	1	Bone_hara	ENTYPE_BEAST	
M0141	Organean	7	0.45	80	85	85	90	60	65	22	27	0.4	0.7	0.4	100	100	2	0.8	0.1	0.1	0.2	0	0	0	0	0	0.1	1	1.25	0.5	3.1	4	0.75	1.5	35	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_BONE	800	0	1	ICON3D_MT_N2_BONE	10	0	0	ICON3D_FD_MEAT_02	50	ZOKU_WEAK_CRUSH	0	0	0	0	0	0	0	0	0	0	0	m0141	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0142	Sabrodo	7	0.7	280	283	120	125	35	40	85	90	1	1	1	800	3500	10	1.5	0.3	0.3	0.1	0	0	0	0	0	0.45	1	2	0.5	4.6	2.5	0.8	3.5	500	1	4	0.95	1.05	32	56	150	180	90	50	30000	50	0	150	0	24	0	ICON3D_MT_N1_LEATHER	800	4	4	ICON3D_MT_N2_LEATHER	150	ICON3D_MT_R1_PARTS01	50	ICON3D_FD_MEAT_01	150	0	0	0	0	0	0	0	0	0	0	0	0	m0142	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0143	Pewd	22	0.45	75	80	22	26	30	35	6	9	1	0.4	1	100	100	0	0.65	0.1	0.1	0.25	0	0	0	0	0	0.1	1	1	0.5	2.7	0	0	1.25	80	0	2	0.95	1.05	40	45	135	165	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_FLOWER	800	0	1	ICON3D_MT_N2_FLOWER	150	0	0	ICON3D_FD_VG_EGGPLANT	50	ZOKU_WEAK_SLASH	0	0	0	0	0	0	0	0	0	0	0	m0143	109050	109050	1	Bone_head	ENTYPE_BEAST	
M0144	Grimodo	23	0.45	40	45	30	34	40	45	7	10	1	1	1	200	200	0	1.05	0.15	0.08	0.3	0	0	0	0	0	0.1	1	0.85	0.5	2.4	4	0.75	1	75	0	1.5	0.95	1.05	38	40	120	150	90	80	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LEATHER	150	0	0	ICON3D_FD_LAND_EGG	50	0	0	0	0	0	0	0	0	0	0	0	0	m0144	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0145	Splart	15	0.45	20	25	27	30	70	73	13	17	0.2	0.1	1	100	100	2	0.8	0.1	0.1	0.15	0.2	0.02	0.04	0	0	0.1	1	1	0.5	2.7	0	0	1	30	0	1.25	0.95	1.05	30	30	120	150	90	24	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LIQUID	50	ICON3D_MT_R1_PARTS02	10	0	0	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	2	0	0	0	0	0	0	0	0	m0145	109000	109000	1	Bone_body2	ENTYPE_INSECT	
M0146	Spoun	18	0.85	370	372	110	115	60	62	57	60	1	1	1	3500	8000	15	0.85	0.03	0.03	0.13	0	0	0	0	0	1	1	2	0.5	5.2	0	0	2.5	500	2	3	0.95	1.05	24	28	135	180	90	40	60000	25	0	300	0	24	0	ICON3D_MT_N2_WOOD	800	4	4	ICON3D_MT_N2_FLOWER	200	ICON3D_MT_R1_FLOWER	100	ICON3D_FD_VG_PAPRIKA	400	0	0	0	0	0	0	0	0	0	0	0	0	m0146	109070	109070	1	Bone_body02	ENTYPE_BEAST	
M0147	Gwarrab	25	0.85	310	312	98	102	87	91	37	41	0.3	0.5	0.3	2400	3000	15	1.65	0.075	0.1	0.04	0	0	0	0	0	0.1	1	2	0.5	4.6	4	0.75	4	500	2	5	0.95	1.05	12	60	150	180	999	60	80000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	4	4	ICON3D_MT_R1_PARTS03	150	ICON3D_MT_R2_PARTS03	50	ICON3D_FD_MEAT_02	400	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0147	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0148	Gulugaes	23	0.45	20	23	80	83	20	24	6	9	0.1	0.1	0.3	100	100	0	1.15	0.1	0.1	0.15	0.4	0.03	0.06	0	0	0.1	1	1.5	0.5	3.6	0	0	1	70	0	1	0.95	1.05	32	32	120	150	90	24	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LEATHER	50	ICON3D_MT_R1_PARTS02	10	0	0	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	5	0	0	0	0	0	0	0	0	m0148	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0149	Moreel	44	0.45	80	85	80	85	70	75	32	36	0.8	0.3	0.3	100	100	10	1.2	0.125	0.1	0.4	0	0	0	0	0	0.1	1	1.25	0.5	3.3	0	0	1	500	0	2	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_LEATHER	800	0	1	ICON3D_MT_N3_LIQUID	50	ICON3D_MT_N4_LIQUID	10	0	0	ZOKU_WEAK_SLASH	0	0	0	0	0	0	0	0	0	0	0	m0149	109000	109000	1	Bone_Body03	ENTYPE_BEAST	
M0150	Pervastera	46	0.85	321	323	101	103	45	48	75	77	1	1	1	2200	2800	15	0.75	0.075	0.1	0.25	0	0	0	0	0	0.1	1	3.6	0.5	8	4	1	3.5	500	2	4	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_LIQUID	800	4	4	ICON3D_MT_R3_PARTS04	200	ICON3D_MT_N4_LEATHER	100	ICON3D_FD_SEA_SHELLFISH	400	0	0	0	0	0	0	0	0	0	0	0	0	m0150	109020	109020	1	Null_piyo	ENTYPE_BEAST	
M0151	Orclash	28	0.45	175	180	80	85	98	102	55	60	1	1	1	500	500	10	1.05	0.2	0.1	0.25	0	0	0	0	0	0.3	1	1.24	0.5	3.3	4.5	1	1.2	55	0	1.5	1.25	1.35	40	60	120	150	90	50	20000	50	0	100	0	24	0	ICON3D_MT_N2_LIQUID	800	1	1	ICON3D_MT_N3_LEATHER	150	ICON3D_MT_R2_PARTS04	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0151	109000	109000	1	Bone_root	ENTYPE_BEAST	
																																																																																	
//ENEMY	//島中央	レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0200	Doona	15	0.45	40	45	68	72	25	28	12	15	1	1	1	100	100	2	0.5	0.1	0.1	0.2	0	0	0	0	0	0.4	1	0.7	0.5	2	4	0.75	0.75	10	0	1	0.95	1.05	24	28	135	150	90	30	10000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_BONE	50	0	0	ICON3D_US_BERRY	50	0	0	0	0	0	0	0	0	0	0	0	0	m0200	109000	109000	1	Bone_head	ENTYPE_INSECT	
M0201	Lanonen	9	0.45	35	40	72	77	40	45	24	27	1	0.3	0.3	100	100	5	0.7	0.1	0.1	0.2	0	0	0	0	0	0.1	1	1.6	0.5	3.8	4	0.75	1	95	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_FLOWER	800	0	1	ICON3D_MT_N2_LIQUID	50	0	0	ICON3D_FD_VG_CABBAGE	50	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	13	0	0	0	0	0	0	0	0	m0201	109000	109000	1	Bone_head	ENTYPE_INSECT	
M0202	Valquito	55	0.7	160	162	90	93	90	95	55	59	0.3	0.1	1	1800	2500	5	1.4	0.1	0.1	0.15	0.1	0.01	0.02	0	0	0.1	1	2.8	1.5	7.2	0	0	2	200	1	2.5	0.95	1.05	24	48	120	170	90	50	30000	50	0	200	0	24	0	ICON3D_MT_R1_PARTS02	800	1	1	ICON3D_MT_R2_PARTS02	150	ICON3D_MT_R3_PARTS02	50	0	0	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	20	0	0	0	0	0	0	0	0	m0202	109020	109020	0	Bone_body	ENTYPE_INSECT	
M0203	Buldebeet	18	0.7	210	212	70	73	45	48	34	38	1	1	1	2400	7000	0	1.75	0.1	0.1	0.1	0	0	0	0	0	0.4	1.2	3	0.75	6.8	2.5	0.75	3	300	1	3	0.95	1.05	16	56	70	165	90	50	60000	50	0	200	0	24	0	ICON3D_MT_N2_LEATHER	800	2	2	ICON3D_MT_R1_PARTS04	150	ICON3D_MT_R2_PARTS01	10	ICON3D_FD_MEAT_01	100	0	0	0	0	0	0	0	0	0	0	0	0	m0203	109010	109010	1	Bone_root	ENTYPE_BEAST	
																																																																																	
//ENEMY	//密林	レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0220	Bicillus	25	0.25	25	30	70	75	30	35	18	22	1	0.6	0.6	50	50	2	0.5	0.1	0.1	0.1	0	0	0	0	0	0.1	1	0.6	0.5	1.8	4	0.75	0.75	10	-1	1	0.95	1.05	32	32	180	180	90	16	5000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N2_LIQUID	50	0	0	ICON3D_FD_MUSHROOM	50	ZOKU_WEAK_SLASH	0	0	0	0	0	0	0	0	0	0	0	m0220	109000	109000	1	atari1	ENTYPE_BEAST	
M0221	Shotsolla	26	0.45	65	70	50	55	50	55	32	35	0.7	0.2	0.2	100	100	0	0.5	0.1	0.1	0.1	0	0	0	0	0	0.1	1	1.2	0.5	3	4	0.75	1.25	50	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_FLOWER	800	0	1	ICON3D_MT_N2_FLOWER	50	ICON3D_MT_R2_WOOD	10	0	0	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	8	0	0	0	0	0	0	0	0	m0221	109050	109050	1	Bone_hara	ENTYPE_BEAST	
M0222	Vivine	37	0.7	234	237	93	96	70	73	42	45	1	0.7	0.8	1500	3000	10	1.1	0.1	0.1	0.2	0	0	0	0	0	0.1	1	2.8	0.5	6.2	4	1	2.8	250	1	3	0.95	1.05	24	75	120	180	120	80	60000	50	0	200	0	24	0	ICON3D_MT_N3_WOOD	800	3	3	ICON3D_MT_R3_FLOWER	150	ICON3D_MT_R3_PARTS05	100	ICON3D_FD_VG_CORN	100	0	0	0	0	0	0	0	0	0	0	0	0	m0222	109060	109060	1	Bone_root	ENTYPE_BEAST	
M0223	Lugaadi	26	0.45	40	45	60	65	30	35	34	37	0.8	0.5	0.5	100	100	2	1	0.25	0.1	0.2	0.1	0.05	0.05	0.25	0.1	0.1	1	1.5	0.5	3.7	0	0	1.25	60	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LIQUID	800	0	1	ICON3D_MT_N2_BONE	50	ICON3D_MT_R2_PARTS01	10	0	0	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	14	0	0	0	0	0	0	0	0	m0223	109000	109000	1	Bone_hara2	ENTYPE_BEAST	
M0224	Salamandine	27	0.7	160	164	83	87	75	80	71	74	1	1	1	1600	3200	15	0.5	0.1	0.1	0.1	0	0	0	0	0	0.1	1	2.5	0.5	5.6	4	0.75	3	400	1	2.75	0.95	1.05	24	48	120	180	120	50	30000	50	0	200	0	24	0	ICON3D_MT_N2_LEATHER	800	3	3	ICON3D_MT_N2_LIQUID	200	ICON3D_MT_R2_PARTS05	200	ICON3D_FD_MEAT_02	100	0	0	0	0	0	0	0	0	0	0	0	0	m0224	109010	109010	1	Bone_root	ENTYPE_BEAST	
M0225	Vespa	25	0.45	25	30	82	86	20	25	10	15	0.25	0.25	0.7	100	100	5	2.1	0.1	0.5	0.2	0.3	0.05	0.2	0.1	0.1	0.1	1	0.8	0.8	2.8	0	0	0.75	30	0	1	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N1_LEATHER	800	0	1	ICON3D_MT_N1_BONE	150	ICON3D_MT_R1_PARTS02	10	ICON3D_FD_LAND_HONEY	50	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	7	0	0	0	0	0	0	0	0	m0225	109050	109050	1	Bone_Root	ENTYPE_INSECT	
M0226	Nespa	25	0.7	50	50	50	50	9999	9999	18	23	1	1	1	100	100	0	0	0	0	0	0	0	0	0	0	0.1	1	1.75	0.7	4.3	4	0.75	2.5	500	1	3	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_FD_LAND_HONEY	800	6	6	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	m0226	109070	109070	1	Bone_root	ENTYPE_INSECT	
																																																																																	
M0240	Giruvespa	45	0.45	40	45	105	107	23	28	16	20	0.25	0.25	0.7	100	100	5	2.4	0.3	0.5	0.25	0.3	0.05	0.2	0.1	0.1	0.1	1	1	0.5	3.5	0	0	1	30	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	0	1	ICON3D_MT_N2_LEATHER	150	ICON3D_MT_R2_PARTS02	10	ICON3D_FD_LAND_HONEY	50	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	7	0	0	0	0	0	0	0	0	m0240	109050	109050	1	Bone_Root	ENTYPE_INSECT	
M0241	Girunespa	45	0.7	50	55	50	50	9999	9999	18	23	1	1	1	100	100	0	0	0	0	0	0	0	0	0	0	0.1	1	2.05	0.8	5	4	0.75	2.75	500	1	3.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_FD_LAND_HONEY	800	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0226	109070	109070	1	Bone_root	ENTYPE_INSECT	
																																																																																	
//ENEMY	//中央高原	レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0300	Shabil	30	0.45	40	45	52	57	60	65	19	23	0.3	0.15	0.7	100	100	2	1	0.125	0.125	0.2	0.2	0.02	0.04	0	0	0.1	1	1	0.5	2.6	0	0	0.8	50	0	1.25	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N2_LEATHER	800	0	1	ICON3D_MT_N2_BONE	150	ICON3D_MT_R1_PARTS02	50	0	0	ZOKU_WEAK_SHOOT	0	ZOKU_WEAKDMG	9	0	0	0	0	0	0	0	0	m0300	109050	109050	1	Bone_root	ENTYPE_INSECT	
